Date,Price,Open,High,Low,Vol.,Change %
10/22/1984,1217.2,1224.82,1226.92,1216.32,,-0.0071
10/19/1984,1225.93,1221.73,1237.96,1216.98,,0.0004
10/18/1984,1225.38,1195.89,1225.38,1191.59,,0.0247
10/17/1984,1195.89,1198.1,1203.07,1190.92,,-0.0016
10/16/1984,1197.77,1202.52,1204.84,1195.78,,-0.0043
10/15/1984,1202.96,1190.59,1205.28,1188.94,,0.0103
10/12/1984,1190.7,1182.09,1195.89,1182.09,,0.0064
10/11/1984,1183.08,1179.66,1183.97,1174.03,,0.005
10/10/1984,1177.23,1176.46,1179.33,1161.44,,0.0018
10/9/1984,1175.13,1178,1184.63,1174.36,,-0.0023
10/8/1984,1177.89,1183.3,1183.3,1174.69,,-0.0039
10/5/1984,1182.53,1187.06,1190.04,1181.21,,-0.0041
10/4/1984,1187.39,1183.41,1189.82,1183.41,,0.0038
10/3/1984,1182.86,1191.59,1191.59,1180.21,,-0.0071
10/2/1984,1191.36,1198.87,1204.17,1191.14,,-0.0064
10/1/1984,1198.98,1206.71,1206.71,1197,,-0.0064
9/28/1984,1206.71,1216.65,1216.65,1203.29,,-0.0083
9/27/1984,1216.76,1212.68,1220.85,1212.68,,0.0038
9/26/1984,1212.12,1207.71,1217.76,1204.84,,0.0041
9/25/1984,1207.16,1205.06,1211.57,1198.98,,0.0017
9/24/1984,1205.06,1201.74,1210.03,1201.41,,0.0028
9/21/1984,1201.74,1216.1,1228.58,1201.41,,-0.0122
9/20/1984,1216.54,1213.45,1216.53,1208.26,,0.0029
9/19/1984,1213.01,1226.92,1229.79,1211.79,,-0.0108
9/18/1984,1226.26,1236.86,1236.86,1226.25,,-0.0087
9/17/1984,1237.08,1237.85,1240.95,1231.34,,-0.0004
9/14/1984,1237.52,1227.8,1244.15,1227.8,,0.0075
9/13/1984,1228.25,1200.2,1228.25,1198.65,,0.0233
9/12/1984,1200.31,1197.99,1202.3,1195.01,,0.0019
9/11/1984,1197.99,1202.08,1216.1,1197.88,,-0.0038
9/10/1984,1202.52,1207.49,1210.91,1196.22,,-0.004
9/7/1984,1207.38,1218.42,1224.49,1204.4,,-0.0094
9/6/1984,1218.86,1208.81,1221.51,1208.81,,0.0081
9/5/1984,1209.03,1213.12,1213.12,1205.5,,-0.0027
9/4/1984,1212.35,1224.27,1224.27,1210.03,,-0.0098
8/31/1984,1224.38,1223.06,1224.38,1216.43,,0.0009
8/30/1984,1223.28,1227.14,1228.14,1221.51,,-0.003
8/29/1984,1226.92,1232.44,1238.3,1226.26,,-0.0042
8/28/1984,1232.11,1227.69,1232.66,1224.05,,0.0034
8/27/1984,1227.92,1236.42,1236.42,1222.5,,-0.007
8/24/1984,1236.53,1232.88,1236.52,1230.34,,0.0033
8/23/1984,1232.44,1231.67,1238.41,1227.25,,0.0005
8/22/1984,1231.78,1239.4,1247.13,1228.8,,-0.0064
8/21/1984,1239.73,1216.98,1243.71,1216.76,,0.0187
8/20/1984,1216.98,1211.35,1216.98,1208.48,,0.0042
8/17/1984,1211.9,1209.47,1218.75,1209.36,,0.0023
8/16/1984,1209.14,1199.54,1214.11,1198.98,,0.0085
8/15/1984,1198.98,1213.45,1213.67,1198.32,,-0.0125
8/14/1984,1214.11,1219.63,1226.26,1212.24,,-0.0049
8/13/1984,1220.08,1218.09,1221.07,1208.48,,0.0016
8/10/1984,1218.09,1224.6,1248.01,1217.65,,-0.0049
8/9/1984,1224.05,1197.11,1228.03,1193.35,,0.0234
8/8/1984,1196.11,1204.73,1211.02,1196,,-0.0071
8/7/1984,1204.62,1202.85,1213.01,1189.05,,0.0014
8/6/1984,1202.96,1201.74,1224.38,1198.21,,0.0007
8/3/1984,1202.08,1164.53,1203.62,1164.53,,0.0309
8/2/1984,1166.08,1134.17,1166.07,1134.17,,0.0277
8/1/1984,1134.61,1115.72,1134.94,1115.39,,0.0173
7/31/1984,1115.28,1109.98,1116.06,1108.99,,0.0048
7/30/1984,1109.98,1114.07,1118.26,1109.54,,-0.0042
7/27/1984,1114.62,1107.66,1118.71,1106.12,,0.0064
7/26/1984,1107.55,1097.39,1110.31,1096.73,,0.0097
7/25/1984,1096.95,1086.9,1101.15,1082.16,,0.0096
7/24/1984,1086.57,1096.84,1099.93,1086.46,,-0.0092
7/23/1984,1096.62,1090.11,1099.6,1088.56,,-0.0043
7/20/1984,1101.37,1102.92,1106.34,1096.07,,-0.0014
7/19/1984,1102.92,1111.53,1111.53,1102.03,,-0.0078
7/18/1984,1111.64,1122.35,1122.68,1109.43,,-0.01
7/17/1984,1122.9,1116.5,1124.45,1114.18,,0.0054
7/16/1984,1116.83,1110.2,1116.82,1102.8,,0.0063
7/13/1984,1109.87,1105.01,1112.41,1105.01,,0.0048
7/12/1984,1104.57,1108.55,1111.53,1101.04,,-0.0036
7/11/1984,1108.55,1127.32,1127.32,1107.99,,-0.0163
7/10/1984,1126.88,1133.94,1134.28,1122.9,,-0.0063
7/9/1984,1134.05,1122.02,1135.38,1114.95,,0.0102
7/6/1984,1122.57,1124.12,1124.12,1113.74,,-0.0018
7/5/1984,1124.56,1134.83,1136.15,1123.9,,-0.0086
7/3/1984,1134.28,1129.86,1135.71,1129.31,,0.0037
7/2/1984,1130.08,1132.18,1132.4,1124.67,,-0.002
6/29/1984,1132.4,1125.55,1140.24,1125.55,,0.0052
6/28/1984,1126.55,1115.83,1128.42,1115.72,,0.0088
6/27/1984,1116.72,1122.46,1126.44,1113.07,,-0.0054
6/26/1984,1122.79,1130.52,1130.63,1120.47,,-0.0068
6/25/1984,1130.52,1130.96,1135.6,1129.09,,-0.0005
6/22/1984,1131.07,1127.65,1136.15,1122.35,,0.0034
6/21/1984,1127.21,1130.52,1137.59,1123.34,,-0.0039
6/20/1984,1131.63,1115.5,1132.18,1102.03,,0.0142
6/19/1984,1115.83,1109.76,1119.04,1109.43,,0.0056
6/18/1984,1109.65,1082.82,1110.87,1082.05,,0.0209
6/15/1984,1086.9,1097.73,1102.36,1086.9,,-0.0098
6/14/1984,1097.61,1109.98,1111.2,1095.41,,-0.0116
6/13/1984,1110.53,1110.2,1116.28,1108.22,,0
6/12/1984,1110.53,1115.83,1115.95,1105.34,,-0.0046
6/11/1984,1115.61,1130.63,1130.63,1115.28,,-0.0138
6/8/1984,1131.25,1132.33,1132.76,1127.05,,-0.0011
6/7/1984,1132.44,1133.41,1135.13,1129.74,,-0.0012
6/6/1984,1133.84,1125,1138.25,1122.63,,0.008
6/5/1984,1124.89,1131.14,1131.14,1121.01,,-0.0059
6/4/1984,1131.57,1124.68,1139.12,1124.68,,0.0064
6/1/1984,1124.35,1105.17,1124.35,1105.17,,0.0176
5/31/1984,1104.85,1101.4,1108.3,1099.78,,0.002
5/30/1984,1102.59,1098.81,1112.82,1086.85,,0.0012
5/29/1984,1101.24,1106.68,1110.13,1095.9,,-0.0053
5/25/1984,1107.1,1103.02,1109.92,1099.67,,0.0033
5/24/1984,1103.43,1113.59,1113.8,1099.14,,-0.0093
5/23/1984,1113.8,1116.73,1121.23,1112.86,,-0.0025
5/22/1984,1116.62,1124.9,1125,1109.72,,-0.0077
5/21/1984,1125.31,1134.53,1135.99,1124.37,,-0.0075
5/18/1984,1133.79,1142.17,1144.37,1128.98,,-0.0074
5/17/1984,1142.27,1152.95,1152.95,1137.88,,-0.0094
5/16/1984,1153.16,1151.7,1156.62,1150.75,,0.002
5/15/1984,1150.86,1150.75,1155.57,1148.35,,-0.0002
5/14/1984,1151.07,1156.93,1156.93,1147.09,,-0.0052
5/11/1984,1157.14,1167.4,1167.4,1148.14,,-0.0086
5/10/1984,1167.19,1165.83,1171.17,1163.53,,0.0014
5/9/1984,1165.52,1176.51,1177.76,1160.39,,-0.0092
5/8/1984,1176.3,1166.25,1176.61,1163.21,,0.0083
5/7/1984,1166.56,1165.2,1167.29,1161.22,,0.0011
5/4/1984,1165.31,1181.95,1182.47,1161.96,,-0.0137
5/3/1984,1181.53,1186.56,1186.98,1173.05,,-0.0042
5/2/1984,1186.56,1182.68,1188.23,1179.86,,0.003
5/1/1984,1183,1170.96,1183.21,1170.12,,0.0105
4/30/1984,1170.75,1169.49,1173.89,1164.47,,0.0014
4/27/1984,1169.07,1175.46,1176.93,1167.5,,-0.0053
4/26/1984,1175.25,1164.05,1177.76,1164.05,,0.0101
4/25/1984,1163.53,1163.21,1166.88,1158.08,,0.0005
4/24/1984,1162.9,1149.71,1165.83,1148.24,,0.0117
4/23/1984,1149.5,1157.35,1161.33,1149.18,,-0.0074
4/19/1984,1158.08,1156.83,1158.07,1149.29,,0.0014
4/18/1984,1156.51,1164.15,1164.15,1153.58,,-0.0069
4/17/1984,1164.57,1159.97,1171.8,1159.97,,0.0037
4/16/1984,1160.28,1150.44,1160.49,1142.9,,0.0088
4/13/1984,1150.13,1156.51,1168.76,1149.29,,-0.0061
4/12/1984,1157.14,1130.86,1157.13,1124.16,,0.0231
4/11/1984,1130.97,1138.4,1141.65,1130.44,,-0.0064
4/10/1984,1138.3,1134.11,1143.32,1134.11,,0.0039
4/9/1984,1133.9,1131.07,1136.62,1126.47,,0.0015
4/6/1984,1132.22,1130.13,1132.22,1120.39,,0.0015
4/5/1984,1130.55,1148.45,1154.52,1130.65,,-0.0157
4/4/1984,1148.56,1148.76,1153.37,1145.52,,-0.0002
4/3/1984,1148.76,1154.42,1155.26,1143.22,,-0.0038
4/2/1984,1153.16,1165.2,1171.06,1147.82,,-0.0101
3/30/1984,1164.89,1170.54,1170.54,1163.21,,-0.005
3/29/1984,1170.75,1174.73,1179.54,1170.33,,-0.0033
3/28/1984,1174.62,1155.05,1174.62,1154.84,,0.0176
3/27/1984,1154.31,1153.48,1156.62,1149.5,,0.0012
3/26/1984,1152.95,1154.84,1157.66,1150.75,,-0.0016
3/23/1984,1154.84,1155.46,1156.93,1148.14,,-0.0009
3/22/1984,1155.88,1170.96,1171.06,1154,,-0.0128
3/21/1984,1170.85,1175.67,1178.08,1170.33,,-0.0042
3/20/1984,1175.77,1171.38,1179.44,1169.39,,0.0037
3/19/1984,1171.38,1184.67,1184.67,1166.77,,-0.011
3/16/1984,1184.36,1169.39,1191.48,1169.39,,0.0145
3/15/1984,1167.4,1166.04,1173.89,1164.15,,0.0012
3/14/1984,1166.04,1166.14,1169.6,1160.7,,0.0011
3/13/1984,1164.78,1155.67,1172.01,1155.46,,0.0082
3/12/1984,1155.36,1141.12,1156.09,1140.6,,0.0137
3/9/1984,1139.76,1147.3,1147.4,1136.1,,-0.0064
3/8/1984,1147.09,1143.74,1151.38,1140.39,,0.003
3/7/1984,1143.63,1152.64,1152.85,1137.67,,-0.0077
3/6/1984,1152.53,1164.78,1170.75,1152.11,,-0.0109
3/5/1984,1165.2,1172.01,1172.11,1161.33,,-0.0054
3/2/1984,1171.48,1159.65,1176.61,1159.65,,0.0104
3/1/1984,1159.44,1154.31,1160.49,1150.86,,0.0042
2/29/1984,1154.63,1157.66,1165.93,1152.64,,-0.0022
2/28/1984,1157.14,1180.17,1180.17,1154.94,,-0.0193
2/27/1984,1179.96,1163.94,1181.74,1162.06,,0.0128
2/24/1984,1165.1,1134.74,1165.09,1134.74,,0.0269
2/23/1984,1134.63,1134.32,1137.25,1117.88,,0.0004
2/22/1984,1134.21,1138.3,1142.8,1133.38,,-0.0045
2/21/1984,1139.34,1149.39,1150.23,1138.92,,-0.0083
2/17/1984,1148.87,1154.63,1161.12,1147.61,,-0.0053
2/16/1984,1154.94,1159.02,1159.76,1147.82,,-0.0033
2/15/1984,1158.71,1164.47,1170.02,1157.24,,-0.0044
2/14/1984,1163.84,1150.96,1166.04,1150.65,,0.0119
2/13/1984,1150.13,1159.97,1161.54,1143.01,,-0.0091
2/10/1984,1160.7,1152.64,1163.94,1152.11,,0.0069
2/9/1984,1152.74,1156.09,1159.55,1144.89,,-0.0031
2/8/1984,1156.3,1181.01,1184.57,1154.84,,-0.0205
2/7/1984,1180.49,1174.73,1181.85,1165.1,,0.0053
2/6/1984,1174.31,1197.03,1197.03,1173.89,,-0.019
2/3/1984,1197.03,1214.61,1222.78,1197.02,,-0.0139
2/2/1984,1213.88,1212.31,1216.19,1205.72,,0.0013
2/1/1984,1212.31,1220.79,1223.2,1208.65,,-0.0068
1/31/1984,1220.58,1221.63,1224.35,1215.45,,-0.0008
1/30/1984,1221.52,1230.42,1234.92,1216.5,,-0.0069
1/27/1984,1230,1229.48,1233.14,1222.26,,0.0003
1/26/1984,1229.69,1232.1,1238.27,1228.22,,-0.0018
1/25/1984,1231.89,1242.57,1250.42,1231.26,,-0.0088
1/24/1984,1242.88,1244.56,1246.23,1239.95,,-0.0013
1/23/1984,1244.45,1258.58,1258.58,1243.72,,-0.0116
1/20/1984,1259.11,1266.23,1266.44,1256.7,,-0.0055
1/19/1984,1266.02,1269.37,1271.25,1265.08,,-0.0026
1/18/1984,1269.37,1271.67,1275.44,1266.33,,-0.0016
1/17/1984,1271.46,1269.58,1270.83,1264.76,,0.0031
1/16/1984,1267.59,1271.14,1273.17,1265.55,,-0.002
1/13/1984,1270.1,1279.98,1286.99,1267.68,,-0.0072
1/12/1984,1279.31,1277.44,1284.65,1277.44,,0.0016
1/11/1984,1277.32,1279.67,1280.28,1273.58,,-0.0009
1/10/1984,1278.48,1286.08,1291.87,1278.46,,-0.006
1/9/1984,1286.22,1286.48,1291.16,1281.3,,-0.0003
1/6/1984,1286.64,1281.81,1286.99,1278.86,,0.0034
1/5/1984,1282.24,1269.51,1286.48,1269.51,,0.0104
1/4/1984,1269.05,1252.44,1269.21,1250.81,,0.013
1/3/1984,1252.74,1257.72,1259.15,1251.32,,-0.0047
12/30/1983,1258.64,1260.57,1262.6,1256.3,,-0.0012
12/29/1983,1260.16,1266.97,1268.7,1260.16,,-0.0024
12/28/1983,1263.21,1263.92,1264.94,1257.01,,-0.0004
12/27/1983,1263.72,1250.51,1263.71,1250.51,,0.0106
12/23/1983,1250.51,1253.86,1254.27,1248.37,,-0.0025
12/22/1983,1253.66,1255.69,1259.55,1251.42,,-0.0011
